                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.1589,                0.79852,                 1.0556,                 0.6531,                0.63596,                0.61925,                0.28047,                 1.9793,                 1.2799,                 1.5515,              0.0011188,              0.0011188,              0.0011188
                     56,                 1.1763,                0.78439,                 1.0486,                0.69592,                0.69007,                 0.7046,                0.31299,                 1.8953,                 1.1058,                 1.4564,              0.0011164,              0.0011164,              0.0011164
                     57,                 1.1603,                0.78513,                 1.0484,                0.68811,                0.60908,                0.62349,                0.27905,                 1.8989,                  1.152,                 1.4641,              0.0011139,              0.0011139,              0.0011139
                     58,                 1.1439,                 0.7818,                 1.0376,                0.63327,                0.67384,                0.64398,                0.28615,                 1.9206,                 1.2072,                 1.4721,              0.0011114,              0.0011114,              0.0011114
                     59,                 1.1495,                0.76815,                 1.0409,                0.64557,                0.61091,                0.60933,                0.28876,                  1.939,                  1.095,                 1.5255,              0.0011089,              0.0011089,              0.0011089
                     60,                 1.1598,                0.76668,                 1.0453,                0.61755,                0.63592,                0.60739,                0.26282,                 1.9602,                 1.1873,                 1.4772,              0.0011065,              0.0011065,              0.0011065
                     61,                 1.1136,                0.74258,                   1.03,                0.76357,                0.59907,                0.66387,                0.30861,                  1.964,                 1.1331,                 1.5205,               0.001104,               0.001104,               0.001104
                     62,                  1.154,                0.75841,                 1.0519,                0.72507,                 0.5892,                0.63725,                0.28187,                 1.9207,                 1.2402,                 1.5139,              0.0011015,              0.0011015,              0.0011015
                     63,                 1.1118,                0.73972,                 1.0277,                0.75091,                0.65796,                0.71365,                0.32425,                 1.9331,                 1.1114,                 1.5012,               0.001099,               0.001099,               0.001099
                     64,                 1.1143,                 0.7317,                 1.0249,                0.65346,                0.66515,                0.63434,                0.27884,                 1.8973,                 1.1503,                 1.4718,              0.0010965,              0.0010965,              0.0010965
                     65,                 1.1093,                0.72293,                 1.0335,                0.71255,                 0.7253,                0.73575,                0.35194,                 1.8177,                 1.1041,                  1.447,              0.0010941,              0.0010941,              0.0010941
                     66,                 1.0843,                0.72463,                 1.0142,                0.72799,                0.68951,                0.72131,                0.33305,                 1.9097,                 1.0798,                 1.5243,              0.0010916,              0.0010916,              0.0010916
                     67,                 1.1134,                0.74367,                 1.0285,                0.80734,                0.71087,                0.72114,                0.34587,                 1.7875,                 1.0608,                  1.433,              0.0010891,              0.0010891,              0.0010891
                     68,                 1.0638,                0.70723,                 1.0027,                0.68898,                0.55649,                 0.5939,                 0.2676,                  1.951,                 1.2521,                 1.5161,              0.0010866,              0.0010866,              0.0010866
                     69,                 1.0701,                0.71605,                 1.0132,                0.73259,                0.52939,                0.60288,                0.27676,                 1.9016,                 1.3074,                 1.5109,              0.0010842,              0.0010842,              0.0010842
                     70,                 1.0591,                 0.7041,                 1.0039,                0.68221,                0.63804,                0.67322,                0.31517,                 1.7958,                 1.1052,                 1.4573,              0.0010817,              0.0010817,              0.0010817
                     71,                 1.0649,                0.69837,                 1.0136,                0.67337,                0.70415,                0.70668,                0.36697,                 1.8244,                 1.1181,                 1.4727,              0.0010792,              0.0010792,              0.0010792
                     72,                 1.0346,                0.69138,                0.99976,                 0.6065,                0.71877,                0.67129,                0.34227,                 1.8387,                  1.019,                 1.4322,              0.0010768,              0.0010768,              0.0010768
                     73,                 1.0672,                0.70454,                 1.0091,                 0.7393,                0.67157,                0.70536,                0.35216,                 1.7928,                 1.0655,                 1.4431,              0.0010743,              0.0010743,              0.0010743
                     74,                 1.0726,                0.68252,                 1.0056,                0.74689,                0.77953,                0.74757,                0.34305,                  1.866,                 1.0083,                 1.4738,              0.0010718,              0.0010718,              0.0010718
